trial,time,error
8,1.34603e+06,5.37853e-12
8,2.54552e+06,2.99953e-10
8,2.9502e+06,9.25283e-11
8,3.06208e+06,9.66389e-07
8,2.9582e+06,8.06613e-11
8,2.98416e+06,8.05087e-11
8,2.9657e+06,3.15335e-07
9,2.99134e+06,0
9,26857,0.000133473
9,241145,0.191185
9,1.15712e+06,0.0461635
9,2.6677e+06,3.42099e-08
9,2.89886e+06,0.0669093
9,2.96545e+06,0.000669093
9,2.90556e+06,0.0739992
9,2.93493e+06,0.00211717
9,3.13942e+06,0.0874852
10,1.50894e+06,0
10,31188,3.58428e-06
10,279996,6.29199e-07
10,1.30675e+06,1.03716e-11
10,2.51944e+06,5.21355e-11
10,2.90732e+06,3.37806e-10
10,2.97863e+06,3.42068e-12
10,2.96412e+06,3.36747e-14
10,2.93902e+06,3.35136e-16
10,2.99201e+06,8.70366e-21
11,3.02035e+06,0
11,30881,0.000113799
11,270992,0.0890619
11,1.30891e+06,2.94139e-07
11,2.45007e+06,0.12063
11,2.97343e+06,5.68614e-13
11,2.98137e+06,6.67739e-12
11,3.01721e+06,7.72876e-12
11,2.91488e+06,7.84541e-12
11,2.92781e+06,0.0283871
12,3.01639e+06,0
12,43690,9.44379e-09
12,247239,7.95701e-12
12,1.35337e+06,5.95663e-09
12,2.68385e+06,9.64484e-11
12,2.93455e+06,5.59382e-11
12,2.98239e+06,1.21307e-09
12,3.00505e+06,3.87375e-12
12,2.97513e+06,1.74139e-12
12,2.96068e+06,2.83793e-12
13,3.00131e+06,0
13,28359,0.000140517
13,249481,3.78696e-06
13,1.25999e+06,0.179578
13,2.47922e+06,0.00179395
13,2.80506e+06,1.77613e-05
13,2.95983e+06,1.60457e-07
13,2.98908e+06,3.68542e-10
13,2.95235e+06,3.58798e-10
13,2.93223e+06,0.107878
14,3.0228e+06,0
14,26227,0.0228878
14,191364,0.101625
14,1.15426e+06,3.26636e-06
14,2.45469e+06,0.098216
14,2.90294e+06,0.000982165
14,2.98829e+06,9.82157e-06
14,2.9519e+06,9.82159e-08
14,2.96274e+06,9.82169e-10
14,2.98368e+06,0.0729976
15,3.00852e+06,0
15,28952,0.000134005
15,216900,1.38311e-06
15,826393,1.34687e-08
15,1.30971e+06,1.22884e-09
15,1.50264e+06,5.36147e-10
15,1.5164e+06,4.96169e-10
15,1.48889e+06,4.92212e-10
15,1.51566e+06,4.91844e-10
15,3.04062e+06,0.00549495
16,3.00961e+06,0
16,39384,6.01962e-09
16,233550,6.01962e-09
16,1.35354e+06,5.75506e-11
16,2.5801e+06,8.86194e-11
16,2.87394e+06,5.09495e-13
16,2.97927e+06,5.44483e-15
16,3.00871e+06,2.59442e-10
16,2.95004e+06,2.59471e-12
16,2.96404e+06,6.25199e-21
17,3.03251e+06,0
17,29846,0.000130262
17,269670,0.0267606
17,1.28953e+06,4.2752e-08
17,2.51634e+06,0.0495195
17,2.92299e+06,0.0929738
17,2.9482e+06,0.0402784
17,2.95734e+06,0.0445704
17,2.916e+06,0.0441314
17,2.93725e+06,0.0441752
18,2.99512e+06,0
18,28084,0.000100606
18,196772,1.06141e-06
18,1.23242e+06,6.23765e-08
18,2.52681e+06,0.0753375
18,2.90481e+06,0.000753264
18,2.95163e+06,0.229312
18,2.97646e+06,0.00229294
18,2.97485e+06,2.29113e-05
18,2.95085e+06,4.41031e-12
19,3.0485e+06,0
19,29242,0.0327473
19,219980,0.000333501
19,1.15996e+06,0.135183
19,2.47068e+06,0.00135174
19,2.89476e+06,0.105815
19,2.94761e+06,0.00105815
19,2.91108e+06,1.05815e-05
19,2.92961e+06,1.05815e-07
19,3.01388e+06,0.1082
20,2.96829e+06,0
20,33121,0.0333712
20,259862,0.0325001
20,843274,2.63122e-08
20,2.54596e+06,0.000397755
20,2.92099e+06,0.0207044
20,2.9808e+06,0.0172914
20,2.96628e+06,0.0176189
20,2.9884e+06,0.017586
20,2.96368e+06,0.0175893
21,3.09435e+06,0
21,35177,1.81069e-05
21,212010,1.09156e-06
21,1.26018e+06,2.21391e-05
21,2.53308e+06,1.69922e-09
21,2.92751e+06,9.8635e-06
21,3.10478e+06,1.38873e-05
21,2.96505e+06,2.05379e-06
21,2.96706e+06,1.75411e-08
21,2.97749e+06,5.648e-12
22,2.97751e+06,0
22,31128,9.78886e-05
22,266254,0.107785
22,1.26379e+06,1.24576e-06
22,2.48445e+06,0.0456913
22,2.89767e+06,0.000455935
22,2.98894e+06,4.46284e-06
22,2.9381e+06,3.55366e-08
22,3.03316e+06,1.5137e-11
22,2.94506e+06,0.0461484
23,2.99226e+06,0
23,30070,0.000171182
23,261756,7.25283e-05
23,1.26939e+06,0.0476489
23,2.52592e+06,0.000475517
23,2.95492e+06,4.66928e-06
23,2.97153e+06,4.07954e-10
23,2.91366e+06,0.0231142
23,3.14504e+06,0.0668578
23,2.9413e+06,4.84658e-10
24,2.96721e+06,0
24,25502,0.000130568
24,227069,0.0648585
24,1.20913e+06,0.043787
24,2.43581e+06,0.000437285
24,2.85199e+06,4.31004e-06
24,2.89422e+06,0.119909
24,2.91604e+06,0.0257361
24,2.93608e+06,2.84213e-10
24,2.90781e+06,2.8444e-10
25,2.95617e+06,0
25,25308,9.2208e-05
25,204084,0.664547
25,1.06442e+06,3.90063e-08
25,2.35183e+06,2.49773e-13
25,2.81599e+06,4.16151e-10
25,2.84138e+06,4.66118e-10
25,2.92953e+06,0.226047
25,2.95132e+06,0.207986
25,2.83068e+06,0.117162
26,2.92216e+06,0
26,29101,2.20673e-08
26,251991,2.20673e-08
26,1.16423e+06,1.72789e-08
26,2.4691e+06,2.34733e-09
26,2.77902e+06,1.743e-09
26,2.90867e+06,1.66376e-09
